cluster,playlist,id
0,best_of_eurodance.csv,34
0,best_of_kpop.csv,33
0,handpicked_bravo_hits.csv,23
0,best_of_electro_swing.csv,19
0,handpicked_berlin.csv,11
0,best_of_afrobeats.csv,11
0,best_of_electronic.csv,11
0,2023_best_of.csv,10
0,handpicked_indie_melody.csv,10
0,2023_house_techno.csv,9
0,best_of_rnb.csv,8
0,best_of_pop.csv,7
0,best_of_ska.csv,7
0,1990s.csv,6
0,2010s.csv,5
0,2023_deutschrap.csv,5
0,best_of_reggaeton.csv,5
0,best_of_reggae.csv,5
0,2023_tech_house.csv,5
0,best_of_house.csv,4
0,best_of_latin.csv,3
0,best_of_rap.csv,3
0,best_of_rock.csv,3
0,best_of_trap.csv,3
0,1970s.csv,3
0,handpicked_manu_chao.csv,2
0,handpicked_karaoke.csv,2
0,best_of_punk.csv,2
0,handpicked_bremer_partymix.csv,2
0,best_of_grime.csv,2
0,handpicked_peter_fox_radio.csv,2
0,2023_bravohits.csv,2
0,handpicked_modus_mio.csv,1
0,handpicked_slowdown_tuesday.csv,1
0,best_of_neue_deutsche_welle.csv,1
0,best_of_soul.csv,1
0,1980s.csv,1
0,best_of_metal.csv,1
0,best_of_dancehall.csv,1
0,best_of_britpop.csv,1
0,2000s.csv,1
0,handpicked_sonne_mond_sterne.csv,1
1,handpicked_berlin.csv,12
1,best_of_rap.csv,10
1,best_of_world.csv,9
1,1970s.csv,8
1,2023_best_of.csv,8
1,handpicked_slowdown_tuesday.csv,8
1,handpicked_bremer_partymix.csv,8
1,handpicked_indie_melody.csv,8
1,handpicked_faber.csv,6
1,handpicked_billie_eilish.csv,6
1,handpicked_bravo_hits.csv,6
1,best_of_kpop.csv,6
1,best_of_trap.csv,6
1,best_of_grime.csv,5
1,best_of_afrobeats.csv,5
1,best_of_rnb.csv,5
1,best_of_electronic.csv,5
1,best_of_folk.csv,5
1,handpicked_manu_chao.csv,5
1,2023_hiphop_mixtape.csv,4
1,best_of_pop.csv,4
1,best_of-blues.csv,3
1,best_of_electro_swing.csv,3
1,handpicked_modus_mio.csv,3
1,best_of_reggae.csv,3
1,best_of_house.csv,3
1,best_of_rock.csv,3
1,best_of_trip_hop.csv,3
1,handpicked_gisbert.csv,3
1,best_of_soundtrack2.csv,2
1,handpicked_peter_fox_radio.csv,2
1,best_of_reggaeton.csv,2
1,best_of_drill.csv,2
1,best_of_dancehall.csv,2
1,best_of_new_age.csv,2
1,best_of_latin.csv,2
1,2023_deutschrap.csv,2
1,best_of_soul.csv,2
1,handpicked_sonne_mond_sterne.csv,1
1,2023_bravohits.csv,1
1,handpicked_peter_licht.csv,1
1,handpicked_money_boy.csv,1
1,2023_the_dome.csv,1
1,best_of_soundtrack1.csv,1
1,handpicked_karaoke.csv,1
1,best_of_eurodance.csv,1
1,best_of_hiphop.csv,1
1,best_of_neue_deutsche_welle.csv,1
1,2020s.csv,1
1,best_of_ska.csv,1
1,handpicked_the_streets.csv,1
2,handpicked_bravo_hits.csv,34
2,best_of_kpop.csv,33
2,best_of_eurodance.csv,30
2,best_of_afrobeats.csv,29
