playlist,cluster,id
1970s.csv,39,29
1970s.csv,49,11
1970s.csv,2,11
1970s.csv,38,10
1970s.csv,17,10
1970s.csv,8,9
1970s.csv,1,8
1970s.csv,4,6
1970s.csv,46,6
1970s.csv,20,6
1970s.csv,6,5
1970s.csv,14,5
1970s.csv,35,3
1970s.csv,30,3
1970s.csv,0,3
1970s.csv,12,3
1970s.csv,24,2
1970s.csv,26,2
1970s.csv,27,2
1970s.csv,28,2
1970s.csv,44,2
1970s.csv,21,2
1970s.csv,10,1
1970s.csv,48,1
1970s.csv,7,1
1970s.csv,41,1
1970s.csv,22,1
1970s.csv,13,1
1970s.csv,33,1
1970s.csv,31,1
1970s.csv,15,1
1970s.csv,34,1
1980s.csv,39,10
1980s.csv,4,8
1980s.csv,46,8
1980s.csv,14,7
1980s.csv,15,4
1980s.csv,20,4
1980s.csv,2,4
1980s.csv,35,4
1980s.csv,17,3
1980s.csv,38,3
1980s.csv,32,2
1980s.csv,44,2
1980s.csv,28,2
1980s.csv,0,1
1980s.csv,47,1
1980s.csv,27,1
1980s.csv,31,1
1980s.csv,30,1
1980s.csv,21,1
1980s.csv,13,1
1980s.csv,12,1
1980s.csv,8,1
1980s.csv,6,1
1980s.csv,48,1
1990s.csv,4,11
1990s.csv,0,6
1990s.csv,2,5
1990s.csv,15,4
1990s.csv,39,4
1990s.csv,38,4
1990s.csv,28,4
1990s.csv,17,4
1990s.csv,49,4
1990s.csv,14,4
1990s.csv,6,4
1990s.csv,22,2
1990s.csv,27,2
1990s.csv,30,2
1990s.csv,24,2
1990s.csv,12,1
1990s.csv,9,1
1990s.csv,8,1
1990s.csv,31,1
1990s.csv,34,1
1990s.csv,35,1
1990s.csv,7,1
1990s.csv,40,1
1990s.csv,44,1
1990s.csv,46,1
2000s.csv,4,11
2000s.csv,2,8
2000s.csv,15,7
2000s.csv,14,6
2000s.csv,6,5
2000s.csv,28,5
2000s.csv,22,5
2000s.csv,27,4
2000s.csv,34,4
2000s.csv,47,2
2000s.csv,39,2
2000s.csv,20,2
2000s.csv,44,1
2000s.csv,38,1
2000s.csv,30,1
2000s.csv,0,1
2000s.csv,25,1
2000s.csv,17,1
2000s.csv,13,1
2000s.csv,12,1
2000s.csv,9,1
2000s.csv,8,1
2000s.csv,7,1
2000s.csv,19,1
2010s.csv,15,11
2010s.csv,6,10
2010s.csv,4,9
2010s.csv,2,7
2010s.csv,14,6
2010s.csv,0,5
2010s.csv,41,4
2010s.csv,19,4
2010s.csv,30,4
2010s.csv,27,3
2010s.csv,47,3
2010s.csv,44,3
2010s.csv,34,3
2010s.csv,28,3
2010s.csv,25,3
2010s.csv,22,3
2010s.csv,13,3
2010s.csv,26,2
2010s.csv,20,2
2010s.csv,12,2
2010s.csv,32,1
2010s.csv,17,1
2010s.csv,38,1
2010s.csv,40,1
2010s.csv,8,1
2010s.csv,49,1
2020s.csv,15,6
2020s.csv,2,6
2020s.csv,41,6
2020s.csv,4,5
2020s.csv,13,5
2020s.csv,38,5
2020s.csv,34,3
2020s.csv,14,3
2020s.csv,20,3
2020s.csv,49,2
2020s.csv,6,2
2020s.csv,12,2
2020s.csv,48,1
2020s.csv,44,1
2020s.csv,1,1
2020s.csv,30,1
2020s.csv,29,1
2020s.csv,28,1
2020s.csv,27,1
2020s.csv,9,1
2020s.csv,21,1
2023_best_of.csv,41,22
2023_best_of.csv,2,14
2023_best_of.csv,13,13
2023_best_of.csv,4,12
2023_best_of.csv,0,10
2023_best_of.csv,27,9
2023_best_of.csv,1,8
2023_best_of.csv,48,7
2023_best_of.csv,49,7
2023_best_of.csv,12,6
2023_best_of.csv,14,6
2023_best_of.csv,38,6
2023_best_of.csv,6,4
2023_best_of.csv,22,4
2023_best_of.csv,34,3
2023_best_of.csv,15,3
2023_best_of.csv,20,3
2023_best_of.csv,44,3
2023_best_of.csv,7,3
2023_best_of.csv,8,3
2023_best_of.csv,28,3
2023_best_of.csv,30,3
2023_best_of.csv,40,2
2023_best_of.csv,35,2
2023_best_of.csv,26,2
2023_best_of.csv,33,2
2023_best_of.csv,32,2
2023_best_of.csv,24,2
2023_best_of.csv,21,2
2023_best_of.csv,39,1
2023_best_of.csv,9,1
2023_best_of.csv,47,1
2023_best_of.csv,19,1
2023_best_of.csv,31,1
2023_bravohits.csv,41,6
2023_bravohits.csv,4,4
2023_bravohits.csv,12,4
2023_bravohits.csv,13,4
2023_bravohits.csv,14,4
2023_bravohits.csv,0,2
2023_bravohits.csv,26,2
2023_bravohits.csv,30,2
2023_bravohits.csv,27,2
2023_bravohits.csv,22,2
2023_bravohits.csv,15,2
2023_bravohits.csv,20,1
2023_bravohits.csv,1,1
2023_bravohits.csv,10,1
2023_bravohits.csv,28,1
2023_bravohits.csv,7,1
2023_bravohits.csv,34,1
2023_bravohits.csv,38,1
2023_bravohits.csv,39,1
2023_bravohits.csv,6,1
2023_bravohits.csv,44,1
2023_bravohits.csv,47,1
2023_bravohits.csv,49,1
2023_deutschrap.csv,41,15
2023_deutschrap.csv,7,13
2023_deutschrap.csv,4,11
2023_deutschrap.csv,34,11
2023_deutschrap.csv,13,6
2023_deutschrap.csv,26,6
2023_deutschrap.csv,0,5
2023_deutschrap.csv,19,4
2023_deutschrap.csv,20,2
2023_deutschrap.csv,1,2
2023_deutschrap.csv,22,2
2023_deutschrap.csv,32,1
2023_deutschrap.csv,47,1
2023_deutschrap.csv,40,1
2023_deutschrap.csv,21,1
2023_deutschrap.csv,30,1
2023_deutschrap.csv,17,1
2023_deutschrap.csv,6,1
2023_deutschrap.csv,2,1
2023_deutschrap.csv,49,1
2023_hiphop_mixtape.csv,41,9
2023_hiphop_mixtape.csv,26,7
2023_hiphop_mixtape.csv,22,6
2023_hiphop_mixtape.csv,13,6
2023_hiphop_mixtape.csv,7,6
2023_hiphop_mixtape.csv,4,5
2023_hiphop_mixtape.csv,1,4
2023_hiphop_mixtape.csv,19,3
2023_hiphop_mixtape.csv,16,2
2023_hiphop_mixtape.csv,20,2
2023_hiphop_mixtape.csv,34,2
2023_hiphop_mixtape.csv,6,2
2023_hiphop_mixtape.csv,46,2
2023_hiphop_mixtape.csv,15,1
2023_hiphop_mixtape.csv,2,1
2023_hiphop_mixtape.csv,25,1
2023_hiphop_mixtape.csv,10,1
2023_hiphop_mixtape.csv,27,1
2023_hiphop_mixtape.csv,30,1
2023_hiphop_mixtape.csv,37,1
2023_hiphop_mixtape.csv,39,1
2023_hiphop_mixtape.csv,47,1
2023_house_techno.csv,0,9
2023_house_techno.csv,40,7
2023_house_techno.csv,32,7
2023_house_techno.csv,2,6
2023_house_techno.csv,4,5
2023_house_techno.csv,14,5
2023_house_techno.csv,41,3
2023_house_techno.csv,10,3
2023_house_techno.csv,13,2
2023_house_techno.csv,27,2
2023_house_techno.csv,30,1
2023_house_techno.csv,39,1
2023_house_techno.csv,35,1
2023_house_techno.csv,18,1
2023_house_techno.csv,29,1
2023_house_techno.csv,17,1
2023_house_techno.csv,15,1
2023_house_techno.csv,6,1
2023_house_techno.csv,3,1
2023_house_techno.csv,47,1
2023_tech_house.csv,32,37
2023_tech_house.csv,40,32
2023_tech_house.csv,10,27
2023_tech_house.csv,2,21
2023_tech_house.csv,4,10
2023_tech_house.csv,14,9
2023_tech_house.csv,15,8
2023_tech_house.csv,0,5
2023_tech_house.csv,41,3
2023_tech_house.csv,35,3
2023_tech_house.csv,13,2
2023_tech_house.csv,39,1
2023_tech_house.csv,18,1
2023_tech_house.csv,29,1
2023_tech_house.csv,27,1
2023_tech_house.csv,17,1
2023_tech_house.csv,3,1
2023_tech_house.csv,44,1
2023_the_dome.csv,7,3
2023_the_dome.csv,34,3
2023_the_dome.csv,30,2
2023_the_dome.csv,1,1
