cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.59,0.51,0.46,0.05,0.7,0.11,110.32,0.33,239978.54,-10.93,0.62,3.88
1,0.07,0.68,0.79,0.01,0.12,0.07,115.62,0.53,224072.84,-5.73,0.54,4.0
2,0.05,0.69,0.79,0.79,0.16,0.05,124.07,0.17,310035.13,-8.23,0.48,3.97
3,0.07,0.73,0.84,0.01,0.17,0.07,120.85,0.85,217273.41,-5.67,0.56,3.99
4,0.07,0.74,0.5,0.78,0.12,0.07,119.53,0.34,349080.44,-11.24,0.49,3.95
5,0.63,0.69,0.55,0.02,0.18,0.08,123.76,0.78,205580.84,-8.86,0.59,3.96
6,0.31,0.33,0.41,0.83,0.13,0.04,109.61,0.1,252929.62,-13.51,0.52,3.8
7,0.09,0.78,0.57,0.02,0.16,0.12,118.65,0.31,217829.92,-7.5,0.54,3.98
8,0.05,0.72,0.81,0.42,0.17,0.06,123.91,0.67,249369.43,-7.37,0.57,4.0
9,0.8,0.61,0.33,0.01,0.15,0.09,110.22,0.47,217088.16,-11.9,0.71,3.83
10,0.13,0.7,0.58,0.01,0.17,0.38,133.56,0.4,199067.25,-8.0,0.53,4.06
11,0.12,0.78,0.7,0.0,0.16,0.31,114.84,0.71,205691.09,-6.47,0.48,4.04
12,0.58,0.67,0.48,0.78,0.13,0.07,120.44,0.54,255807.04,-12.05,0.5,3.98
13,0.38,0.71,0.75,0.01,0.15,0.09,113.42,0.78,218073.4,-6.1,0.53,4.0
14,0.07,0.63,0.79,0.02,0.4,0.09,112.86,0.46,227454.46,-5.75,0.57,3.99
15,0.9,0.27,0.17,0.84,0.12,0.04,104.74,0.13,323891.27,-19.71,0.59,3.64
16,0.1,0.51,0.62,0.03,0.16,0.05,117.63,0.24,255589.24,-7.63,0.58,3.96
17,0.03,0.41,0.9,0.04,0.18,0.09,138.99,0.3,246595.49,-5.24,0.56,3.96
18,0.15,0.65,0.8,0.02,0.69,0.15,121.67,0.72,223843.63,-6.26,0.6,4.0
19,0.84,0.42,0.23,0.05,0.13,0.04,116.53,0.18,248464.17,-14.58,0.66,3.78
20,0.48,0.74,0.61,0.01,0.17,0.35,127.8,0.59,191702.74,-7.77,0.46,3.98
21,0.02,0.37,0.87,0.75,0.21,0.08,130.31,0.32,267177.21,-6.42,0.52,3.88
22,0.12,0.77,0.56,0.02,0.13,0.08,114.34,0.75,222684.24,-8.93,0.56,3.99
23,0.45,0.56,0.51,0.02,0.15,0.07,121.35,0.33,237234.58,-8.91,0.62,3.87
24,0.05,0.73,0.78,0.8,0.15,0.06,126.37,0.71,282348.02,-8.22,0.6,4.0
25,0.06,0.51,0.84,0.02,0.2,0.08,152.46,0.7,222379.0,-5.98,0.63,3.98
