playlist,cluster,id
1970s.csv,22,25
1970s.csv,3,21
1970s.csv,23,20
1970s.csv,13,17
1970s.csv,9,16
1970s.csv,25,10
1970s.csv,5,9
1970s.csv,16,6
1970s.csv,19,5
1970s.csv,1,5
1970s.csv,14,4
1970s.csv,18,4
1970s.csv,11,3
1970s.csv,17,2
1970s.csv,10,1
1970s.csv,8,1
1970s.csv,7,1
1980s.csv,3,17
1980s.csv,22,12
1980s.csv,23,6
1980s.csv,25,6
1980s.csv,1,5
1980s.csv,18,5
1980s.csv,13,4
1980s.csv,16,4
1980s.csv,5,3
1980s.csv,17,3
1980s.csv,7,2
1980s.csv,8,2
1980s.csv,0,1
1980s.csv,9,1
1980s.csv,14,1
1990s.csv,3,19
1990s.csv,1,9
1990s.csv,16,8
1990s.csv,22,7
1990s.csv,23,6
1990s.csv,14,5
1990s.csv,13,4
1990s.csv,17,4
1990s.csv,25,3
1990s.csv,11,2
1990s.csv,19,2
1990s.csv,0,1
1990s.csv,18,1
1990s.csv,24,1
2000s.csv,1,17
2000s.csv,3,10
2000s.csv,11,9
2000s.csv,22,8
2000s.csv,13,6
2000s.csv,17,5
2000s.csv,25,5
2000s.csv,14,4
2000s.csv,16,3
2000s.csv,18,2
2000s.csv,5,1
2000s.csv,7,1
2000s.csv,9,1
2000s.csv,23,1
2010s.csv,1,15
2010s.csv,3,12
2010s.csv,16,9
2010s.csv,22,8
2010s.csv,14,7
2010s.csv,25,7
2010s.csv,7,7
2010s.csv,17,6
2010s.csv,13,6
2010s.csv,18,4
2010s.csv,23,4
2010s.csv,11,3
2010s.csv,10,2
2010s.csv,9,1
2010s.csv,2,1
2010s.csv,8,1
2010s.csv,19,1
2010s.csv,5,1
2010s.csv,24,1
2020s.csv,1,10
2020s.csv,22,9
2020s.csv,7,6
2020s.csv,23,6
2020s.csv,14,5
2020s.csv,3,4
2020s.csv,13,4
2020s.csv,16,4
2020s.csv,9,3
2020s.csv,19,2
2020s.csv,5,1
2020s.csv,11,1
2020s.csv,17,1
2020s.csv,25,1
2023_best_of.csv,23,21
2023_best_of.csv,3,20
2023_best_of.csv,1,20
2023_best_of.csv,7,17
2023_best_of.csv,14,15
2023_best_of.csv,16,14
2023_best_of.csv,22,12
2023_best_of.csv,13,10
2023_best_of.csv,5,7
2023_best_of.csv,9,5
2023_best_of.csv,19,5
2023_best_of.csv,17,5
2023_best_of.csv,25,4
2023_best_of.csv,11,3
2023_best_of.csv,20,3
2023_best_of.csv,18,2
2023_best_of.csv,10,2
2023_best_of.csv,2,2
2023_best_of.csv,0,2
2023_best_of.csv,8,1
2023_best_of.csv,24,1
2023_bravohits.csv,1,8
2023_bravohits.csv,23,6
2023_bravohits.csv,16,5
2023_bravohits.csv,14,4
2023_bravohits.csv,22,4
2023_bravohits.csv,25,3
2023_bravohits.csv,11,2
2023_bravohits.csv,10,2
2023_bravohits.csv,7,2
2023_bravohits.csv,3,2
2023_bravohits.csv,13,2
2023_bravohits.csv,12,1
2023_bravohits.csv,2,1
2023_bravohits.csv,8,1
2023_bravohits.csv,17,1
2023_bravohits.csv,18,1
2023_bravohits.csv,20,1
2023_deutschrap.csv,7,16
2023_deutschrap.csv,11,14
2023_deutschrap.csv,20,12
2023_deutschrap.csv,3,10
2023_deutschrap.csv,22,8
2023_deutschrap.csv,10,7
2023_deutschrap.csv,23,4
2023_deutschrap.csv,1,3
2023_deutschrap.csv,5,2
2023_deutschrap.csv,8,2
2023_deutschrap.csv,13,2
2023_deutschrap.csv,14,2
2023_deutschrap.csv,2,1
2023_deutschrap.csv,9,1
2023_deutschrap.csv,16,1
2023_deutschrap.csv,18,1
2023_hiphop_mixtape.csv,7,15
2023_hiphop_mixtape.csv,11,11
2023_hiphop_mixtape.csv,10,7
2023_hiphop_mixtape.csv,1,6
2023_hiphop_mixtape.csv,20,6
2023_hiphop_mixtape.csv,22,6
2023_hiphop_mixtape.csv,16,5
2023_hiphop_mixtape.csv,5,2
2023_hiphop_mixtape.csv,23,2
2023_hiphop_mixtape.csv,4,1
2023_hiphop_mixtape.csv,14,1
2023_hiphop_mixtape.csv,17,1
2023_hiphop_mixtape.csv,18,1
2023_hiphop_mixtape.csv,25,1
2023_house_techno.csv,3,9
2023_house_techno.csv,24,9
2023_house_techno.csv,1,8
2023_house_techno.csv,8,8
2023_house_techno.csv,2,6
2023_house_techno.csv,7,4
2023_house_techno.csv,22,4
2023_house_techno.csv,14,3
2023_house_techno.csv,18,3
2023_house_techno.csv,4,2
2023_house_techno.csv,13,1
2023_house_techno.csv,17,1
2023_house_techno.csv,21,1
2023_tech_house.csv,24,38
2023_tech_house.csv,8,34
2023_tech_house.csv,2,33
2023_tech_house.csv,3,20
2023_tech_house.csv,1,11
2023_tech_house.csv,4,8
2023_tech_house.csv,14,8
2023_tech_house.csv,7,5
2023_tech_house.csv,21,3
2023_tech_house.csv,22,2
2023_tech_house.csv,17,1
2023_tech_house.csv,18,1
2023_the_dome.csv,11,4
2023_the_dome.csv,10,3
2023_the_dome.csv,5,2
2023_the_dome.csv,22,2
2023_the_dome.csv,23,2
2023_the_dome.csv,3,1
2023_the_dome.csv,16,1
2023_the_dome.csv,17,1
2023_the_dome.csv,18,1
2023_the_dome.csv,19,1
2023_the_dome.csv,20,1
2023_the_dome.csv,25,1
best_of-blues.csv,5,19
best_of-blues.csv,9,12
best_of-blues.csv,22,9
best_of-blues.csv,25,5
best_of-blues.csv,3,4
best_of-blues.csv,23,4
best_of-blues.csv,12,3
best_of-blues.csv,21,2
best_of-blues.csv,18,2
best_of-blues.csv,20,1
best_of-blues.csv,24,1
best_of-blues.csv,0,1
best_of-blues.csv,19,1
best_of-blues.csv,1,1
best_of-blues.csv,13,1
best_of-blues.csv,8,1
best_of-blues.csv,7,1
best_of-blues.csv,17,1
best_of-blues_jazz_soul.csv,9,9
best_of-blues_jazz_soul.csv,23,4
best_of-blues_jazz_soul.csv,5,2
best_of-blues_jazz_soul.csv,22,2
best_of-blues_jazz_soul.csv,3,1
best_of-blues_jazz_soul.csv,12,1
best_of-blues_jazz_soul.csv,13,1
best_of-blues_jazz_soul.csv,18,1
best_of-blues_jazz_soul.csv,19,1
best_of-classic.csv,15,71
best_of-classic.csv,19,7
best_of-classic.csv,6,2
best_of-classic.csv,9,2
best_of-classic.csv,12,1
best_of-country.csv,23,17
best_of-country.csv,13,12
best_of-country.csv,22,11
best_of-country.csv,9,10
best_of-country.csv,25,10
best_of-country.csv,5,9
best_of-country.csv,1,7
best_of-country.csv,16,7
best_of-country.csv,19,5
best_of-country.csv,3,4
best_of-country.csv,14,3
best_of-country.csv,18,2
best_of-country.csv,7,1
best_of_afrobeats.csv,3,44
best_of_afrobeats.csv,13,44
best_of_afrobeats.csv,22,30
best_of_afrobeats.csv,1,18
best_of_afrobeats.csv,5,11
best_of_afrobeats.csv,11,9
best_of_afrobeats.csv,25,7
best_of_afrobeats.csv,7,4
best_of_afrobeats.csv,9,4
best_of_afrobeats.csv,10,4
best_of_afrobeats.csv,20,4
best_of_afrobeats.csv,18,3
best_of_afrobeats.csv,0,2
best_of_afrobeats.csv,14,2
best_of_afrobeats.csv,23,1
best_of_britpop.csv,25,12
best_of_britpop.csv,17,8
best_of_britpop.csv,14,7
best_of_britpop.csv,16,6
best_of_britpop.csv,3,5
best_of_britpop.csv,1,4
best_of_britpop.csv,8,3
best_of_britpop.csv,22,2
best_of_britpop.csv,18,1
best_of_britpop.csv,23,1
best_of_dancehall.csv,11,31
best_of_dancehall.csv,20,13
best_of_dancehall.csv,1,10
best_of_dancehall.csv,3,10
best_of_dancehall.csv,10,9
best_of_dancehall.csv,13,7
best_of_dancehall.csv,22,6
best_of_dancehall.csv,14,4
best_of_dancehall.csv,25,4
best_of_dancehall.csv,18,3
best_of_dancehall.csv,7,2
best_of_dancehall.csv,17,1
best_of_dancehall.csv,23,1
best_of_deep_house.csv,4,21
best_of_deep_house.csv,24,14
best_of_deep_house.csv,7,7
best_of_deep_house.csv,8,5
best_of_deep_house.csv,22,4
best_of_deep_house.csv,2,3
best_of_deep_house.csv,0,1
best_of_deep_house.csv,1,1
best_of_deep_house.csv,14,1
best_of_dreampop.csv,21,11
best_of_dreampop.csv,16,9
best_of_dreampop.csv,6,5
best_of_dreampop.csv,4,3
best_of_dreampop.csv,15,2
best_of_dreampop.csv,17,2
best_of_dreampop.csv,24,2
best_of_dreampop.csv,23,2
best_of_dreampop.csv,22,2
best_of_dreampop.csv,19,2
best_of_dreampop.csv,25,2
best_of_dreampop.csv,14,2
best_of_dreampop.csv,8,2
best_of_dreampop.csv,12,1
best_of_dreampop.csv,9,1
best_of_dreampop.csv,7,1
best_of_dreampop.csv,3,1
best_of_drill.csv,20,33
best_of_drill.csv,11,23
best_of_drill.csv,10,18
best_of_drill.csv,13,10
