cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.55,0.72,0.66,0.0,0.2,0.35,128.39,0.7,189896.92,-7.35,0.46,3.95
1,0.1,0.57,0.78,0.01,0.15,0.09,167.9,0.82,214667.08,-6.57,0.63,3.98
2,0.4,0.63,0.7,0.01,0.15,0.08,111.06,0.55,232827.33,-6.67,0.55,3.98
3,0.07,0.74,0.5,0.78,0.12,0.06,121.38,0.24,359801.1,-11.43,0.49,3.97
4,0.04,0.56,0.87,0.02,0.34,0.06,122.57,0.62,226441.15,-5.55,0.66,4.0
5,0.73,0.48,0.4,0.02,0.14,0.06,146.05,0.3,239358.22,-10.45,0.65,3.74
6,0.59,0.36,0.38,0.8,0.14,0.04,107.48,0.12,251846.5,-13.66,0.53,3.87
7,0.05,0.72,0.83,0.4,0.16,0.06,125.13,0.68,245625.92,-7.21,0.56,4.0
8,0.1,0.52,0.64,0.03,0.15,0.05,103.62,0.21,257853.19,-7.4,0.59,3.96
9,0.1,0.58,0.55,0.02,0.15,0.05,110.66,0.54,251276.63,-10.03,0.6,3.97
10,0.08,0.75,0.84,0.01,0.1,0.06,120.19,0.88,218161.92,-5.68,0.57,3.99
11,0.1,0.36,0.49,0.82,0.12,0.04,109.09,0.14,274089.96,-12.1,0.6,3.81
12,0.19,0.7,0.77,0.02,0.67,0.15,117.13,0.8,219304.09,-6.52,0.58,3.99
13,0.08,0.83,0.55,0.02,0.14,0.14,112.1,0.52,215332.87,-7.84,0.52,3.97
14,0.02,0.41,0.92,0.05,0.19,0.1,126.59,0.25,251792.32,-5.02,0.55,3.97
15,0.05,0.68,0.8,0.78,0.14,0.05,124.54,0.13,313045.43,-8.07,0.46,3.96
16,0.35,0.76,0.49,0.01,0.13,0.44,140.37,0.48,187932.27,-9.86,0.43,4.05
17,0.06,0.5,0.82,0.03,0.73,0.12,126.75,0.43,241220.89,-5.97,0.69,3.97
18,0.18,0.63,0.6,0.0,0.19,0.38,96.28,0.3,200868.79,-7.74,0.52,4.08
19,0.48,0.45,0.43,0.02,0.19,0.05,91.65,0.26,251568.61,-9.82,0.67,3.85
20,0.09,0.78,0.5,0.74,0.13,0.09,121.47,0.67,322923.75,-11.26,0.49,3.96
21,0.15,0.85,0.64,0.0,0.15,0.32,124.23,0.76,192504.65,-7.14,0.51,4.03
22,0.81,0.64,0.31,0.01,0.14,0.1,103.49,0.46,211880.98,-12.26,0.73,3.87
23,0.01,0.32,0.9,0.75,0.21,0.09,131.22,0.27,271930.56,-6.02,0.53,3.86
24,0.42,0.69,0.51,0.03,0.15,0.07,122.72,0.29,221224.53,-8.79,0.54,3.94
25,0.88,0.38,0.17,0.06,0.14,0.04,105.77,0.16,252150.85,-16.06,0.65,3.75
26,0.04,0.69,0.8,0.83,0.12,0.05,123.32,0.46,299921.75,-7.77,0.52,3.98
27,0.04,0.39,0.87,0.02,0.17,0.08,164.18,0.51,234933.52,-5.48,0.64,3.97
28,0.05,0.6,0.86,0.01,0.12,0.06,116.33,0.7,230463.93,-5.73,0.55,3.99
29,0.43,0.76,0.79,0.02,0.15,0.1,115.53,0.85,216465.44,-5.51,0.54,3.98
30,0.09,0.78,0.59,0.02,0.11,0.07,112.71,0.84,227867.73,-8.7,0.56,4.0
31,0.07,0.7,0.73,0.02,0.4,0.09,117.01,0.39,223677.78,-6.06,0.54,4.0
32,0.91,0.35,0.19,0.81,0.13,0.04,130.85,0.2,314575.54,-17.36,0.51,3.82
33,0.05,0.64,0.81,0.02,0.12,0.06,121.15,0.4,227984.13,-5.52,0.54,4.01
34,0.14,0.45,0.58,0.02,0.17,0.06,160.13,0.25,241681.52,-7.53,0.58,3.88
35,0.39,0.76,0.52,0.01,0.13,0.07,113.97,0.74,213744.78,-8.93,0.59,3.99
36,0.13,0.69,0.68,0.0,0.17,0.31,157.28,0.48,201932.31,-6.64,0.5,4.01
37,0.92,0.2,0.1,0.87,0.12,0.04,84.97,0.07,343055.44,-23.02,0.66,3.5
38,0.6,0.67,0.5,0.77,0.14,0.07,123.11,0.55,249232.57,-12.0,0.49,3.98
39,0.07,0.79,0.55,0.02,0.16,0.15,125.89,0.23,209845.31,-7.67,0.58,4.0
40,0.72,0.63,0.51,0.02,0.19,0.07,126.78,0.78,201896.33,-9.81,0.63,3.91
41,0.09,0.74,0.84,0.01,0.33,0.09,121.52,0.85,214459.32,-5.45,0.49,4.0
42,0.03,0.66,0.82,0.68,0.52,0.07,127.94,0.4,264499.34,-7.54,0.61,3.97
43,0.04,0.71,0.84,0.78,0.15,0.06,128.3,0.79,254149.75,-7.62,0.63,3.99
44,0.14,0.63,0.74,0.0,0.18,0.34,94.44,0.66,209293.81,-6.06,0.52,4.02
45,0.67,0.53,0.46,0.03,0.69,0.14,114.13,0.4,238435.61,-10.85,0.65,3.94
46,0.08,0.78,0.77,0.01,0.13,0.09,111.77,0.63,214945.24,-5.52,0.49,4.0
