playlist,cluster,id
1970s.csv,30,17
1970s.csv,5,13
1970s.csv,9,13
1970s.csv,10,12
1970s.csv,35,10
1970s.csv,2,10
1970s.csv,22,9
1970s.csv,19,7
1970s.csv,29,7
1970s.csv,28,7
1970s.csv,1,6
1970s.csv,40,5
1970s.csv,24,4
1970s.csv,8,3
1970s.csv,34,3
1970s.csv,21,2
1970s.csv,44,2
1970s.csv,41,2
1970s.csv,4,2
1970s.csv,17,2
1970s.csv,33,2
1970s.csv,12,2
1970s.csv,13,2
1970s.csv,25,2
1970s.csv,7,1
1970s.csv,36,1
1970s.csv,39,1
1970s.csv,27,1
1970s.csv,14,1
1970s.csv,46,1
1980s.csv,10,7
1980s.csv,28,7
1980s.csv,41,5
1980s.csv,9,5
1980s.csv,30,5
1980s.csv,19,5
1980s.csv,27,4
1980s.csv,12,4
1980s.csv,1,3
1980s.csv,35,3
1980s.csv,29,3
1980s.csv,24,3
1980s.csv,4,3
1980s.csv,14,2
1980s.csv,13,2
1980s.csv,33,2
1980s.csv,8,2
1980s.csv,39,2
1980s.csv,7,2
1980s.csv,17,1
1980s.csv,40,1
1980s.csv,46,1
1990s.csv,10,10
1990s.csv,28,6
1990s.csv,8,5
1990s.csv,30,5
1990s.csv,2,4
1990s.csv,41,4
1990s.csv,1,3
1990s.csv,34,3
1990s.csv,31,3
1990s.csv,27,3
1990s.csv,4,3
1990s.csv,46,3
1990s.csv,24,2
1990s.csv,25,2
1990s.csv,29,2
1990s.csv,9,2
1990s.csv,5,2
1990s.csv,44,2
1990s.csv,19,1
1990s.csv,17,1
1990s.csv,14,1
1990s.csv,13,1
1990s.csv,33,1
1990s.csv,35,1
1990s.csv,43,1
1990s.csv,45,1
2000s.csv,46,9
2000s.csv,33,6
2000s.csv,10,6
2000s.csv,21,4
2000s.csv,44,4
2000s.csv,30,4
2000s.csv,29,4
2000s.csv,28,4
2000s.csv,27,4
2000s.csv,13,4
2000s.csv,4,3
2000s.csv,8,3
2000s.csv,2,3
2000s.csv,14,2
2000s.csv,12,2
2000s.csv,35,2
2000s.csv,36,2
2000s.csv,41,2
2000s.csv,22,1
2000s.csv,24,1
2000s.csv,31,1
2000s.csv,9,1
2000s.csv,39,1
2010s.csv,28,9
2010s.csv,8,8
2010s.csv,33,8
2010s.csv,46,7
2010s.csv,30,7
2010s.csv,31,6
2010s.csv,29,5
2010s.csv,4,4
2010s.csv,44,4
2010s.csv,41,4
2010s.csv,14,4
2010s.csv,27,3
2010s.csv,1,3
2010s.csv,12,3
2010s.csv,24,3
2010s.csv,13,2
2010s.csv,10,2
2010s.csv,34,2
2010s.csv,35,2
2010s.csv,22,1
2010s.csv,2,1
2010s.csv,26,1
2010s.csv,18,1
2010s.csv,17,1
2010s.csv,15,1
2010s.csv,36,1
2010s.csv,39,1
2010s.csv,7,1
2010s.csv,5,1
2020s.csv,33,6
2020s.csv,2,4
2020s.csv,31,4
2020s.csv,9,4
2020s.csv,10,4
2020s.csv,13,4
2020s.csv,24,3
2020s.csv,35,3
2020s.csv,46,3
2020s.csv,22,2
2020s.csv,28,2
2020s.csv,29,2
2020s.csv,8,2
2020s.csv,5,2
2020s.csv,34,2
2020s.csv,4,2
2020s.csv,1,2
2020s.csv,21,1
2020s.csv,19,1
2020s.csv,25,1
2020s.csv,30,1
2020s.csv,39,1
2020s.csv,44,1
2023_best_of.csv,33,19
2023_best_of.csv,24,15
2023_best_of.csv,41,11
2023_best_of.csv,8,10
2023_best_of.csv,31,10
2023_best_of.csv,46,10
2023_best_of.csv,10,7
2023_best_of.csv,13,7
2023_best_of.csv,5,7
2023_best_of.csv,29,7
2023_best_of.csv,2,6
2023_best_of.csv,19,6
2023_best_of.csv,1,4
2023_best_of.csv,39,4
2023_best_of.csv,35,4
2023_best_of.csv,34,4
2023_best_of.csv,4,4
2023_best_of.csv,40,4
2023_best_of.csv,22,4
2023_best_of.csv,25,3
2023_best_of.csv,9,3
2023_best_of.csv,30,3
2023_best_of.csv,36,3
2023_best_of.csv,27,2
2023_best_of.csv,21,2
2023_best_of.csv,15,2
2023_best_of.csv,12,2
2023_best_of.csv,28,2
2023_best_of.csv,43,1
2023_best_of.csv,7,1
2023_best_of.csv,38,1
2023_best_of.csv,16,1
2023_best_of.csv,14,1
2023_best_of.csv,0,1
2023_bravohits.csv,33,6
2023_bravohits.csv,24,5
2023_bravohits.csv,36,5
2023_bravohits.csv,46,3
2023_bravohits.csv,31,3
2023_bravohits.csv,34,2
2023_bravohits.csv,30,2
2023_bravohits.csv,28,2
2023_bravohits.csv,2,2
2023_bravohits.csv,1,2
2023_bravohits.csv,13,2
2023_bravohits.csv,8,2
2023_bravohits.csv,18,1
2023_bravohits.csv,15,1
2023_bravohits.csv,12,1
2023_bravohits.csv,10,1
2023_bravohits.csv,7,1
2023_bravohits.csv,4,1
2023_bravohits.csv,38,1
2023_bravohits.csv,41,1
2023_bravohits.csv,44,1
2023_bravohits.csv,27,1
2023_deutschrap.csv,39,11
2023_deutschrap.csv,21,8
2023_deutschrap.csv,36,8
2023_deutschrap.csv,16,8
2023_deutschrap.csv,13,7
2023_deutschrap.csv,46,7
2023_deutschrap.csv,24,4
2023_deutschrap.csv,35,4
2023_deutschrap.csv,41,4
2023_deutschrap.csv,44,4
2023_deutschrap.csv,0,4
2023_deutschrap.csv,30,3
2023_deutschrap.csv,12,2
2023_deutschrap.csv,10,2
2023_deutschrap.csv,2,2
2023_deutschrap.csv,8,2
2023_deutschrap.csv,7,2
2023_deutschrap.csv,15,1
2023_deutschrap.csv,18,1
2023_deutschrap.csv,22,1
2023_deutschrap.csv,28,1
2023_hiphop_mixtape.csv,39,8
2023_hiphop_mixtape.csv,21,8
2023_hiphop_mixtape.csv,13,7
2023_hiphop_mixtape.csv,18,5
2023_hiphop_mixtape.csv,35,4
2023_hiphop_mixtape.csv,46,3
2023_hiphop_mixtape.csv,44,3
2023_hiphop_mixtape.csv,36,3
2023_hiphop_mixtape.csv,16,3
2023_hiphop_mixtape.csv,33,3
2023_hiphop_mixtape.csv,31,2
2023_hiphop_mixtape.csv,34,2
2023_hiphop_mixtape.csv,1,2
2023_hiphop_mixtape.csv,30,2
