cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.11,0.61,0.81,0.02,0.15,0.09,163.1,0.76,210084.5,-5.7,0.63,3.99
1,0.58,0.72,0.56,0.02,0.15,0.07,115.69,0.68,202539.99,-8.36,0.58,3.95
2,0.26,0.55,0.55,0.03,0.16,0.05,91.24,0.37,241101.91,-8.37,0.65,3.92
3,0.81,0.52,0.27,0.03,0.14,0.06,108.39,0.32,221878.63,-13.45,0.68,3.86
4,0.24,0.61,0.64,0.01,0.16,0.37,91.07,0.49,197885.77,-7.46,0.51,3.97
5,0.04,0.49,0.82,0.78,0.19,0.06,124.68,0.23,257180.48,-7.3,0.51,3.92
6,0.1,0.72,0.83,0.03,0.33,0.07,118.66,0.76,214014.66,-5.44,0.54,3.99
7,0.91,0.24,0.07,0.73,0.13,0.04,91.91,0.11,213377.19,-25.01,0.64,3.41
8,0.25,0.76,0.59,0.01,0.13,0.37,149.32,0.54,187471.28,-8.17,0.5,4.05
9,0.07,0.49,0.75,0.08,0.15,0.05,120.12,0.31,337823.35,-7.14,0.54,3.96
10,0.46,0.49,0.46,0.04,0.15,0.05,157.74,0.38,247654.2,-10.15,0.68,3.79
11,0.56,0.54,0.48,0.06,0.68,0.09,110.63,0.44,239492.43,-10.53,0.61,3.95
12,0.86,0.26,0.14,0.69,0.12,0.04,106.85,0.15,606170.54,-20.17,0.54,3.72
13,0.12,0.77,0.79,0.02,0.1,0.06,114.84,0.79,212351.64,-5.36,0.53,3.99
14,0.11,0.76,0.61,0.02,0.15,0.1,127.44,0.34,199663.2,-6.91,0.5,3.99
15,0.06,0.54,0.82,0.04,0.38,0.07,120.81,0.4,222080.22,-5.68,0.6,3.98
16,0.15,0.81,0.69,0.01,0.13,0.24,99.87,0.64,215942.8,-6.2,0.48,4.01
17,0.69,0.32,0.29,0.84,0.13,0.04,111.82,0.15,217250.72,-15.26,0.56,3.77
18,0.24,0.73,0.45,0.78,0.13,0.07,116.91,0.47,278897.36,-13.21,0.55,3.98
19,0.06,0.72,0.65,0.76,0.13,0.06,121.84,0.32,426348.95,-9.53,0.43,3.96
20,0.09,0.66,0.81,0.08,0.72,0.11,121.54,0.65,237456.2,-6.24,0.62,3.98
21,0.06,0.39,0.84,0.04,0.18,0.09,167.1,0.38,234884.95,-5.58,0.56,3.94
22,0.77,0.31,0.23,0.64,0.16,0.06,103.32,0.12,1223575.4,-17.21,0.8,3.9
23,0.06,0.58,0.85,0.02,0.13,0.06,110.78,0.52,221119.41,-5.12,0.58,4.0
24,0.1,0.72,0.6,0.04,0.13,0.06,117.73,0.77,249582.31,-11.2,0.6,3.99
25,0.06,0.72,0.83,0.72,0.14,0.06,127.28,0.64,221480.48,-7.22,0.6,3.99
26,0.24,0.69,0.73,0.01,0.43,0.35,129.53,0.65,204206.25,-6.49,0.57,4.05
