playlist,cluster,id
1970s.csv,24,38
1970s.csv,10,18
1970s.csv,3,15
1970s.csv,13,15
1970s.csv,1,13
1970s.csv,2,12
1970s.csv,9,8
1970s.csv,0,6
1970s.csv,6,5
1970s.csv,23,5
1970s.csv,8,3
1970s.csv,20,3
1970s.csv,21,3
1970s.csv,14,2
1970s.csv,4,1
1970s.csv,15,1
1970s.csv,16,1
1970s.csv,11,1
1980s.csv,13,12
1980s.csv,24,11
1980s.csv,2,8
1980s.csv,6,8
1980s.csv,23,6
1980s.csv,20,5
1980s.csv,1,4
1980s.csv,9,4
1980s.csv,21,3
1980s.csv,0,2
1980s.csv,3,2
1980s.csv,10,2
1980s.csv,15,2
1980s.csv,11,1
1980s.csv,14,1
1980s.csv,25,1
1990s.csv,13,13
1990s.csv,2,9
1990s.csv,6,8
1990s.csv,24,7
1990s.csv,23,6
1990s.csv,21,5
1990s.csv,10,5
1990s.csv,15,4
1990s.csv,0,4
1990s.csv,16,2
1990s.csv,9,2
1990s.csv,3,2
1990s.csv,11,1
1990s.csv,20,1
1990s.csv,4,1
1990s.csv,25,1
1990s.csv,26,1
2000s.csv,13,21
2000s.csv,23,12
2000s.csv,16,8
2000s.csv,6,7
2000s.csv,21,5
2000s.csv,2,4
2000s.csv,1,3
2000s.csv,4,3
2000s.csv,0,2
2000s.csv,14,2
2000s.csv,20,2
2000s.csv,26,2
2000s.csv,3,1
2000s.csv,15,1
2010s.csv,13,15
2010s.csv,23,14
2010s.csv,6,10
2010s.csv,15,8
2010s.csv,14,6
2010s.csv,21,5
2010s.csv,26,5
2010s.csv,4,5
2010s.csv,2,5
2010s.csv,16,4
2010s.csv,0,4
2010s.csv,9,3
2010s.csv,20,3
2010s.csv,3,2
2010s.csv,24,2
2010s.csv,8,1
2010s.csv,10,1
2010s.csv,1,1
2010s.csv,5,1
2010s.csv,25,1
2020s.csv,13,12
2020s.csv,14,10
2020s.csv,2,6
2020s.csv,23,6
2020s.csv,0,4
2020s.csv,1,4
2020s.csv,15,3
2020s.csv,16,3
2020s.csv,3,2
2020s.csv,6,2
2020s.csv,21,2
2020s.csv,10,1
2020s.csv,19,1
2020s.csv,26,1
2023_best_of.csv,14,27
2023_best_of.csv,13,21
2023_best_of.csv,6,17
2023_best_of.csv,23,16
2023_best_of.csv,1,12
2023_best_of.csv,10,12
2023_best_of.csv,15,11
2023_best_of.csv,2,10
2023_best_of.csv,3,8
2023_best_of.csv,16,8
2023_best_of.csv,0,7
2023_best_of.csv,8,5
2023_best_of.csv,21,5
2023_best_of.csv,11,2
2023_best_of.csv,20,2
2023_best_of.csv,5,2
2023_best_of.csv,24,2
2023_best_of.csv,25,2
2023_best_of.csv,9,1
2023_best_of.csv,26,1
2023_bravohits.csv,14,9
2023_bravohits.csv,0,6
2023_bravohits.csv,15,5
2023_bravohits.csv,6,4
2023_bravohits.csv,13,4
2023_bravohits.csv,23,4
2023_bravohits.csv,2,3
2023_bravohits.csv,8,3
2023_bravohits.csv,4,2
2023_bravohits.csv,10,1
2023_bravohits.csv,16,1
2023_bravohits.csv,20,1
2023_bravohits.csv,21,1
2023_bravohits.csv,24,1
2023_bravohits.csv,25,1
2023_deutschrap.csv,14,22
2023_deutschrap.csv,8,20
2023_deutschrap.csv,13,11
2023_deutschrap.csv,16,11
2023_deutschrap.csv,0,5
2023_deutschrap.csv,1,3
2023_deutschrap.csv,4,3
2023_deutschrap.csv,26,3
2023_deutschrap.csv,6,2
2023_deutschrap.csv,25,2
2023_deutschrap.csv,2,1
2023_deutschrap.csv,3,1
2023_deutschrap.csv,20,1
2023_deutschrap.csv,24,1
2023_hiphop_mixtape.csv,14,16
2023_hiphop_mixtape.csv,8,13
2023_hiphop_mixtape.csv,4,7
2023_hiphop_mixtape.csv,13,7
2023_hiphop_mixtape.csv,16,6
2023_hiphop_mixtape.csv,1,4
2023_hiphop_mixtape.csv,2,2
2023_hiphop_mixtape.csv,15,2
2023_hiphop_mixtape.csv,26,2
2023_hiphop_mixtape.csv,0,1
2023_hiphop_mixtape.csv,18,1
2023_hiphop_mixtape.csv,20,1
2023_hiphop_mixtape.csv,21,1
2023_hiphop_mixtape.csv,23,1
2023_hiphop_mixtape.csv,24,1
2023_house_techno.csv,6,13
2023_house_techno.csv,25,11
2023_house_techno.csv,13,10
2023_house_techno.csv,14,5
2023_house_techno.csv,5,4
2023_house_techno.csv,19,3
2023_house_techno.csv,24,3
2023_house_techno.csv,9,2
2023_house_techno.csv,18,2
2023_house_techno.csv,20,2
2023_house_techno.csv,23,2
2023_house_techno.csv,0,1
2023_house_techno.csv,15,1
2023_tech_house.csv,25,78
2023_tech_house.csv,13,28
2023_tech_house.csv,5,13
