cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.06,0.66,0.81,0.04,0.12,0.04,126.65,0.78,254584.65,-8.03,0.54,3.99
1,0.58,0.48,0.47,0.02,0.18,0.06,84.74,0.38,221941.34,-8.43,0.69,3.83
2,0.09,0.53,0.68,0.03,0.13,0.04,106.47,0.26,260086.03,-6.97,0.62,3.95
3,0.84,0.55,0.23,0.03,0.15,0.06,96.13,0.36,216580.05,-14.3,0.71,3.88
4,0.16,0.81,0.7,0.01,0.13,0.25,97.21,0.65,217998.89,-6.09,0.46,4.0
5,0.05,0.68,0.82,0.77,0.13,0.05,124.21,0.21,242856.27,-7.68,0.5,3.98
6,0.1,0.72,0.84,0.03,0.33,0.07,119.54,0.78,210147.34,-5.37,0.55,3.99
7,0.92,0.23,0.03,0.79,0.09,0.05,89.75,0.1,344845.74,-30.43,0.65,3.29
8,0.31,0.74,0.53,0.02,0.15,0.5,152.87,0.53,194181.89,-9.77,0.49,4.04
9,0.03,0.42,0.91,0.05,0.21,0.09,99.32,0.42,237198.76,-4.75,0.59,4.0
10,0.33,0.6,0.56,0.02,0.15,0.08,169.71,0.7,223198.74,-9.55,0.62,3.96
11,0.59,0.53,0.47,0.06,0.71,0.08,113.05,0.45,240846.64,-10.66,0.64,3.97
12,0.85,0.29,0.17,0.72,0.13,0.05,111.76,0.15,659699.79,-18.49,0.5,3.74
13,0.1,0.77,0.62,0.01,0.14,0.08,128.6,0.35,195745.16,-6.75,0.5,3.99
14,0.12,0.79,0.55,0.01,0.15,0.29,134.3,0.35,189763.03,-7.92,0.56,4.07
15,0.11,0.68,0.68,0.02,0.38,0.07,106.94,0.41,225619.64,-6.54,0.56,4.0
16,0.15,0.68,0.69,0.01,0.13,0.07,92.99,0.62,220411.3,-6.2,0.5,4.0
17,0.8,0.21,0.17,0.76,0.13,0.04,86.05,0.09,202795.88,-19.13,0.59,3.57
18,0.24,0.74,0.46,0.79,0.13,0.07,109.05,0.48,267483.11,-13.15,0.53,3.98
19,0.07,0.69,0.61,0.79,0.12,0.05,122.67,0.17,436719.15,-10.21,0.44,3.94
20,0.2,0.68,0.77,0.01,0.62,0.32,112.61,0.65,214466.46,-6.05,0.5,4.02
21,0.04,0.38,0.87,0.03,0.14,0.08,162.78,0.37,240952.34,-5.33,0.59,3.96
22,0.79,0.21,0.21,0.6,0.14,0.04,91.46,0.11,1350805.14,-17.43,0.86,3.86
23,0.06,0.65,0.85,0.02,0.13,0.06,124.38,0.51,206479.79,-4.68,0.57,4.0
24,0.13,0.77,0.54,0.03,0.12,0.07,114.23,0.8,220918.38,-11.15,0.64,4.0
25,0.11,0.61,0.72,0.1,0.16,0.06,122.12,0.47,408890.15,-7.95,0.52,3.97
26,0.14,0.64,0.74,0.01,0.22,0.32,166.29,0.55,217176.55,-5.65,0.57,4.01
27,0.05,0.67,0.79,0.71,0.46,0.06,125.69,0.4,275614.81,-8.02,0.62,3.95
28,0.05,0.73,0.84,0.71,0.13,0.06,126.18,0.71,209777.33,-7.0,0.58,3.99
29,0.09,0.6,0.83,0.01,0.14,0.08,164.87,0.78,203410.44,-5.38,0.65,3.98
30,0.05,0.76,0.68,0.75,0.1,0.06,117.92,0.61,393261.74,-8.75,0.46,3.98
31,0.05,0.33,0.81,0.79,0.18,0.08,110.39,0.24,253311.15,-6.98,0.59,3.87
32,0.8,0.44,0.26,0.03,0.14,0.05,146.61,0.27,230632.88,-13.63,0.71,3.77
33,0.05,0.49,0.86,0.03,0.4,0.08,148.89,0.48,225312.78,-5.32,0.61,3.96
34,0.17,0.62,0.46,0.05,0.14,0.05,105.29,0.42,271647.6,-12.4,0.63,3.95
35,0.58,0.73,0.6,0.01,0.15,0.07,117.62,0.76,204327.16,-7.99,0.57,3.98
36,0.7,0.42,0.3,0.83,0.13,0.04,128.74,0.22,214251.33,-15.55,0.55,3.87
37,0.6,0.64,0.47,0.03,0.14,0.06,125.17,0.32,218417.96,-9.16,0.56,3.89
38,0.1,0.64,0.82,0.05,0.72,0.07,121.36,0.65,232476.91,-6.29,0.62,3.99
39,0.08,0.45,0.77,0.75,0.17,0.07,173.95,0.46,273741.06,-8.33,0.55,3.91
40,0.21,0.45,0.54,0.03,0.16,0.05,162.9,0.27,251687.62,-8.52,0.59,3.83
41,0.11,0.8,0.79,0.02,0.1,0.07,114.59,0.82,205153.83,-4.94,0.52,3.98
42,0.17,0.58,0.71,0.0,0.18,0.35,93.13,0.51,201574.2,-6.08,0.52,4.02
43,0.31,0.8,0.66,0.01,0.17,0.31,140.49,0.74,180332.69,-7.17,0.53,4.03
44,0.45,0.7,0.48,0.03,0.15,0.43,91.22,0.49,193907.52,-10.42,0.51,3.91
